n,beta,s,type,mcVal,M
54,0.2469135802469136,1.05,EPE,0.23753550715597865,300
54,0.2469135802469136,1.05,EPE,0.052350321970793534,300
54,0.2469135802469136,1.05,EPE,0.12642439604486755,300
54,0.2469135802469136,1.05,EPE,0.058760789140317626,300
54,0.2469135802469136,1.05,EPE,0.02172375210328059,300
54,0.2469135802469136,1.05,EPE,0.058760789140317626,300
54,0.2469135802469136,1.05,EPE,0.08938735900783051,300
54,0.2469135802469136,1.05,EPE,0.16987190025142876,300
54,0.2469135802469136,1.05,EPE,0.058760789140317626,300
54,0.2469135802469136,1.05,EPE,0.2809830113625398,300
54,0.2469135802469136,1.05,EPE,0.20690893728846577,300
54,0.2469135802469136,1.05,EPE,0.12642439604486755,300
54,0.2469135802469136,1.05,EPE,0.12642439604486755,300
54,0.2469135802469136,1.05,EPE,0.058760789140317626,300
54,0.2469135802469136,1.05,EPE,0.12642439604486755,300
54,0.2469135802469136,1.05,EPE,0.16987190025142876,300
54,0.2469135802469136,1.05,EPE,0.02172375210328059,300
54,0.2469135802469136,1.05,EPE,0.058760789140317626,300
54,0.2469135802469136,1.05,EPE,0.08938735900783051,300
54,0.2469135802469136,1.05,EPE,0.052350321970793534,300
54,0.2469135802469136,1.05,EPE,0.015313284933756499,300
54,0.2469135802469136,1.05,EPE,0.052350321970793534,300
54,0.2469135802469136,1.05,EPE,0.058760789140317626,300
54,0.2469135802469136,1.05,EPE,0.058760789140317626,300
54,0.2469135802469136,1.05,EPE,0.0957978261773546,300
54,0.2469135802469136,1.05,EPE,0.3116095812300528,300
54,0.2469135802469136,1.05,EPE,0.052350321970793534,300
54,0.2469135802469136,1.05,EPE,0.3486466182670898,300
54,0.2469135802469136,1.05,EPE,0.052350321970793534,300
54,0.2469135802469136,1.05,EPE,0.058760789140317626,300
54,0.2469135802469136,1.05,EPE,0.0957978261773546,300
54,0.2469135802469136,1.05,EPE,0.015313284933756499,300
54,0.2469135802469136,1.05,EPE,0.12642439604486755,300
54,0.2469135802469136,1.05,EPE,0.0957978261773546,300
54,0.2469135802469136,1.05,EPE,0.0957978261773546,300
54,0.2469135802469136,1.05,EPE,0.02172375210328059,300
54,0.2469135802469136,1.05,EPE,0.12642439604486755,300
54,0.2469135802469136,1.05,EPE,0.13283486321439164,300
54,0.2469135802469136,1.05,EPE,0.08938735900783051,300
54,0.2469135802469136,1.05,EPE,0.058760789140317626,300
54,0.2469135802469136,1.05,EPE,0.058760789140317626,300
54,0.2469135802469136,1.05,EPE,0.08938735900783051,300
54,0.2469135802469136,1.05,EPE,0.12642439604486755,300
54,0.2469135802469136,1.05,EPE,0.058760789140317626,300
54,0.2469135802469136,1.05,EPE,0.20690893728846577,300
54,0.2469135802469136,1.05,EPE,0.13283486321439164,300
54,0.2469135802469136,1.05,EPE,0.02172375210328059,300
54,0.2469135802469136,1.05,EPE,0.16346143308190464,300
54,0.2469135802469136,1.05,EPE,0.02172375210328059,300
54,0.2469135802469136,1.05,EPE,0.16346143308190464,300
54,0.2469135802469136,1.05,EPE,0.052350321970793534,300
54,0.2469135802469136,1.05,EPE,0.16346143308190464,300
54,0.2469135802469136,1.05,EPE,0.015313284933756499,300
54,0.2469135802469136,1.05,EPE,0.16987190025142876,300
54,0.2469135802469136,1.05,EPE,0.052350321970793534,300
54,0.2469135802469136,1.05,EPE,0.052350321970793534,300
54,0.2469135802469136,1.05,EPE,0.3116095812300528,300
54,0.2469135802469136,1.05,EPE,0.16987190025142876,300
54,0.2469135802469136,1.05,EPE,0.02172375210328059,300
54,0.2469135802469136,1.05,EPE,0.058760789140317626,300
54,0.2469135802469136,1.05,EPE,0.052350321970793534,300
54,0.2469135802469136,1.05,EPE,0.16346143308190464,300
54,0.2469135802469136,1.05,EPE,0.015313284933756499,300
54,0.2469135802469136,1.05,EPE,0.23753550715597865,300
54,0.2469135802469136,1.05,EPE,0.20049847011894167,300
54,0.2469135802469136,1.05,EPE,0.08938735900783051,300
54,0.2469135802469136,1.05,EPE,0.02172375210328059,300
54,0.2469135802469136,1.05,EPE,0.24394597432550277,300
54,0.2469135802469136,1.05,EPE,0.052350321970793534,300
54,0.2469135802469136,1.05,EPE,0.16987190025142876,300
54,0.2469135802469136,1.05,EPE,0.015313284933756499,300
54,0.2469135802469136,1.05,EPE,0.0957978261773546,300
54,0.2469135802469136,1.05,EPE,0.058760789140317626,300
54,0.2469135802469136,1.05,EPE,0.058760789140317626,300
54,0.2469135802469136,1.05,EPE,0.052350321970793534,300
54,0.2469135802469136,1.05,EPE,0.015313284933756499,300
54,0.2469135802469136,1.05,EPE,0.0957978261773546,300
54,0.2469135802469136,1.05,EPE,0.0957978261773546,300
54,0.2469135802469136,1.05,EPE,0.31802004839957687,300
54,0.2469135802469136,1.05,EPE,0.0957978261773546,300
54,0.2469135802469136,1.05,EPE,0.16346143308190464,300
54,0.2469135802469136,1.05,EPE,0.0957978261773546,300
54,0.2469135802469136,1.05,EPE,0.0957978261773546,300
54,0.2469135802469136,1.05,EPE,0.0957978261773546,300
54,0.2469135802469136,1.05,EPE,0.058760789140317626,300
54,0.2469135802469136,1.05,EPE,0.058760789140317626,300
54,0.2469135802469136,1.05,EPE,0.052350321970793534,300
54,0.2469135802469136,1.05,EPE,0.08938735900783051,300
54,0.2469135802469136,1.05,EPE,0.02172375210328059,300
54,0.2469135802469136,1.05,EPE,0.08938735900783051,300
54,0.2469135802469136,1.05,EPE,0.12642439604486755,300
54,0.2469135802469136,1.05,EPE,0.20049847011894167,300
54,0.2469135802469136,1.05,EPE,0.08938735900783051,300
54,0.2469135802469136,1.05,EPE,0.0957978261773546,300
54,0.2469135802469136,1.05,EPE,0.02172375210328059,300
54,0.2469135802469136,1.05,EPE,0.015313284933756499,300
54,0.2469135802469136,1.05,EPE,0.0957978261773546,300
54,0.2469135802469136,1.05,EPE,0.02172375210328059,300
54,0.2469135802469136,1.05,EPE,0.02172375210328059,300
54,0.2469135802469136,1.05,EPE,0.0957978261773546,300
54,0.2469135802469136,1.05,EPE,0.24394597432550277,300
54,0.2469135802469136,1.05,EPE,0.16987190025142876,300
54,0.2469135802469136,1.05,EPE,0.16346143308190464,300
54,0.2469135802469136,1.05,EPE,0.16987190025142876,300
54,0.2469135802469136,1.05,EPE,0.42272069234116394,300
54,0.2469135802469136,1.05,EPE,0.16987190025142876,300
54,0.2469135802469136,1.05,EPE,0.2745725441930157,300
54,0.2469135802469136,1.05,EPE,0.13283486321439164,300
54,0.2469135802469136,1.05,EPE,0.058760789140317626,300
54,0.2469135802469136,1.05,EPE,0.16346143308190464,300
54,0.2469135802469136,1.05,EPE,0.08938735900783051,300
54,0.2469135802469136,1.05,EPE,0.12642439604486755,300
54,0.2469135802469136,1.05,EPE,0.16987190025142876,300
54,0.2469135802469136,1.05,EPE,0.0957978261773546,300
54,0.2469135802469136,1.05,EPE,0.058760789140317626,300
54,0.2469135802469136,1.05,EPE,0.058760789140317626,300
54,0.2469135802469136,1.05,EPE,0.058760789140317626,300
54,0.2469135802469136,1.05,EPE,0.08938735900783051,300
54,0.2469135802469136,1.05,EPE,0.0957978261773546,300
54,0.2469135802469136,1.05,EPE,0.0957978261773546,300
54,0.2469135802469136,1.05,EPE,0.015313284933756499,300
54,0.2469135802469136,1.05,EPE,0.052350321970793534,300
54,0.2469135802469136,1.05,EPE,0.02172375210328059,300
54,0.2469135802469136,1.05,EPE,0.20690893728846577,300
54,0.2469135802469136,1.05,EPE,0.12642439604486755,300
54,0.2469135802469136,1.05,EPE,0.20690893728846577,300
54,0.2469135802469136,1.05,EPE,0.0957978261773546,300
54,0.2469135802469136,1.05,EPE,0.12642439604486755,300
54,0.2469135802469136,1.05,EPE,0.08938735900783051,300
54,0.2469135802469136,1.05,EPE,0.08938735900783051,300
54,0.2469135802469136,1.05,EPE,0.08938735900783051,300
54,0.2469135802469136,1.05,EPE,0.058760789140317626,300
54,0.2469135802469136,1.05,EPE,0.13283486321439164,300
54,0.2469135802469136,1.05,EPE,0.052350321970793534,300
54,0.2469135802469136,1.05,EPE,0.12642439604486755,300
54,0.2469135802469136,1.05,EPE,0.015313284933756499,300
54,0.2469135802469136,1.05,EPE,0.052350321970793534,300
54,0.2469135802469136,1.05,EPE,0.0957978261773546,300
54,0.2469135802469136,1.05,EPE,0.058760789140317626,300
54,0.2469135802469136,1.05,EPE,0.052350321970793534,300
54,0.2469135802469136,1.05,EPE,0.058760789140317626,300
54,0.2469135802469136,1.05,EPE,0.058760789140317626,300
54,0.2469135802469136,1.05,EPE,0.13283486321439164,300
54,0.2469135802469136,1.05,EPE,0.015313284933756499,300
54,0.2469135802469136,1.05,EPE,0.24394597432550277,300
54,0.2469135802469136,1.05,EPE,0.0957978261773546,300
54,0.2469135802469136,1.05,EPE,0.0957978261773546,300
54,0.2469135802469136,1.05,EPE,0.31802004839957687,300
54,0.2469135802469136,1.05,EPE,0.3486466182670898,300
54,0.2469135802469136,1.05,EPE,0.02172375210328059,300
54,0.2469135802469136,1.05,EPE,0.08938735900783051,300
54,0.2469135802469136,1.05,EPE,0.08938735900783051,300
54,0.2469135802469136,1.05,EPE,0.08938735900783051,300
54,0.2469135802469136,1.05,EPE,0.052350321970793534,300
54,0.2469135802469136,1.05,EPE,0.20049847011894167,300
54,0.2469135802469136,1.05,EPE,0.08938735900783051,300
54,0.2469135802469136,1.05,EPE,0.13283486321439164,300
54,0.2469135802469136,1.05,EPE,0.16987190025142876,300
54,0.2469135802469136,1.05,EPE,0.058760789140317626,300
54,0.2469135802469136,1.05,EPE,0.058760789140317626,300
54,0.2469135802469136,1.05,EPE,0.4291311595106879,300
54,0.2469135802469136,1.05,EPE,0.015313284933756499,300
54,0.2469135802469136,1.05,EPE,0.16346143308190464,300
54,0.2469135802469136,1.05,EPE,0.13283486321439164,300
54,0.2469135802469136,1.05,EPE,0.0957978261773546,300
54,0.2469135802469136,1.05,EPE,0.24394597432550277,300
54,0.2469135802469136,1.05,EPE,0.20690893728846577,300
54,0.2469135802469136,1.05,EPE,0.12642439604486755,300
54,0.2469135802469136,1.05,EPE,0.20690893728846577,300
54,0.2469135802469136,1.05,EPE,0.052350321970793534,300
54,0.2469135802469136,1.05,EPE,0.24394597432550277,300
54,0.2469135802469136,1.05,EPE,0.052350321970793534,300
54,0.2469135802469136,1.05,EPE,0.12642439604486755,300
54,0.2469135802469136,1.05,EPE,0.16346143308190464,300
54,0.2469135802469136,1.05,EPE,0.0957978261773546,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.6972932365341796,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
54,0.2469135802469136,1.05,SS,0.0,300
